Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Sector Filter,Revenue Minimum,Revenue Maximum,N Companies,Model,K,Native Evaluation Space,Common Evaluation Space,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Common-Space Silhouette Score,Common-Space Davies-Bouldin Index,Common-Space Calinski-Harabasz Score,Evaluation Coverage,Inertia,AIC,BIC,Noise Share,Min Cluster Size,Min Samples
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.4839122362283647,0.8047183824827958,108.84357983329616,0.4839122362283647,0.8047183824827958,108.84357983329616,0.8276595744680851,,,,0.17234042553191486,15.0,5.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,K-Means,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.42797017190429887,0.9846132306709979,195.48487506542514,0.42797017190429887,0.9846132306709979,195.48487506542514,1.0,2143.0622672562417,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Agglomerative,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.36783750095887086,1.1240657717654619,177.57448519802855,0.36783750095887086,1.1240657717654619,177.57448519802855,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Consumer Cyclical,20000000,inf,470,Gaussian Mixture,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.23189510722820927,2.5341672641819866,64.55197580017347,0.23189510722820927,2.5341672641819866,64.55197580017347,1.0,,7226.770010478667,7596.363220307332,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6457317066461961,0.43660180517202574,380.9469997695481,0.6457317066461961,0.43660180517202574,380.9469997695481,0.7319819819819819,,,,0.26801801801801806,15.0,10.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Agglomerative,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.484145290449611,0.7810948939919022,310.7138410379233,0.484145290449611,0.7810948939919022,310.7138410379233,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,K-Means,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.47250100499989534,0.8435951257042859,320.15395932422933,0.47250100499989534,0.8435951257042859,320.15395932422933,1.0,1974.1311630192222,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Healthcare,50000000,inf,444,Gaussian Mixture,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.2787236743227077,1.4823636086490053,173.71289590125966,0.2787236743227077,1.4823636086490053,173.71289590125966,1.0,,5194.610273798786,5559.1386598552535,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,HDBSCAN,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6295714429061497,0.44214409873814225,162.48469499501988,0.6295714429061497,0.44214409873814225,162.48469499501988,0.8141592920353983,,,,0.18584070796460173,10.0,10.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,K-Means,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.5027037840163403,0.9044929389345846,281.05032527634495,0.5027037840163403,0.9044929389345846,281.05032527634495,1.0,3568.9082941958304,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Agglomerative,3,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.49100126998958327,0.9419763198359994,246.948253163676,0.49100126998958327,0.9419763198359994,246.948253163676,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,industrials_revenue_20m,Industrials companies with revenue >= $20M,Industrials,20000000,inf,565,Gaussian Mixture,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.288963753349381,2.3699364563747585,84.45873393264448,0.288963753349381,2.3699364563747585,84.45873393264448,1.0,,9738.137967349052,10124.115457421085,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1651,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.6410468975858931,0.5458547422611134,768.3707692944135,0.6410468975858931,0.5458547422611134,768.3707692944135,0.9170199878861296,,,,0.0829800121138704,15.0,5.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1651,Agglomerative,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.596074030176157,0.6731996616948405,1045.8320786222887,0.596074030176157,0.6731996616948405,1045.8320786222887,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1651,K-Means,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.5759981888852561,0.7678363003642465,1161.5689286728427,0.5759981888852561,0.7678363003642465,1161.5689286728427,1.0,8794.920862554047,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,"Technology, Healthcare, Industrials, Consumer Cyclical, Consumer Defensive, Energy, Utilities, Basic Materials, Communication Services, Real Estate",1000000000,inf,1651,Gaussian Mixture,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.22079898709840845,1.9973334140733179,352.22714968033057,0.22079898709840845,1.9973334140733179,352.22714968033057,1.0,,24950.164237729525,25431.577381238418,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,HDBSCAN,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.5817187312482276,0.6163833501403887,153.45309736595553,0.5817187312482276,0.6163833501403887,153.45309736595553,0.807495741056218,,,,0.19250425894378198,15.0,5.0
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Agglomerative,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.44506115467793256,0.9606482865393691,190.8869336461766,0.44506115467793256,0.9606482865393691,190.8869336461766,1.0,,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,K-Means,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.3906215619200194,1.2655168119183096,242.87830802803828,0.3906215619200194,1.2655168119183096,242.87830802803828,1.0,3714.061706895429,,,,,
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Technology,25000000,inf,587,Gaussian Mixture,2,Scenario-specific scaled KPI-8,Scenario-specific scaled KPI-8,0.2523357281439438,2.4799377793256268,85.56548923674531,0.2523357281439438,2.4799377793256268,85.56548923674531,1.0,,9397.312094363897,9786.689303328598,,,
