Figure Type,Scenario ID,Scenario Name,Method,Configuration,Selection Basis,Relative Path,Interpretation
3D cluster map,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Agglomerative,K=3,Maximum full-sample common-space Silhouette,clusters_3d\04_consumer_cyclical_revenue_20m__02_agglomerative__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 10.2% variance.
3D cluster map,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,"K=4, median seed=42",Seed closest to median common-space Silhouette,clusters_3d\04_consumer_cyclical_revenue_20m__05_autoencoder_k_means__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 10.2% variance.
3D cluster map,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,"K=4, median seed=42",Seed closest to median common-space Silhouette,clusters_3d\04_consumer_cyclical_revenue_20m__06_dec__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 10.2% variance.
3D cluster map,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Gaussian Mixture,K=2,Maximum full-sample common-space Silhouette,clusters_3d\04_consumer_cyclical_revenue_20m__03_gaussian_mixture__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 10.2% variance.
3D cluster map,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN,"mcs=15, ms=5",Balanced coverage-separation Pareto representative,clusters_3d\04_consumer_cyclical_revenue_20m__04_hdbscan__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 10.2% variance.
3D cluster map,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,K-Means,K=3,Maximum full-sample common-space Silhouette,clusters_3d\04_consumer_cyclical_revenue_20m__01_k_means__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 10.2% variance.
3D cluster map,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Agglomerative,K=2,Maximum full-sample common-space Silhouette,clusters_3d\02_healthcare_revenue_50m__02_agglomerative__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 13.0% variance.
3D cluster map,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,"K=4, median seed=456",Seed closest to median common-space Silhouette,clusters_3d\02_healthcare_revenue_50m__05_autoencoder_k_means__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 13.0% variance.
3D cluster map,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,"K=4, median seed=42",Seed closest to median common-space Silhouette,clusters_3d\02_healthcare_revenue_50m__06_dec__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 13.0% variance.
3D cluster map,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Gaussian Mixture,K=2,Maximum full-sample common-space Silhouette,clusters_3d\02_healthcare_revenue_50m__03_gaussian_mixture__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 13.0% variance.
